price,ratings,reviews,recommend
9.99,54647,4.7,1
0,36241,4.6,0
0,22254,4.8,0
19.99,39605,4.6,0
0,8446,4.6,0
0,135802,4.8,0
0,17398,4.7,0
0,26279,4.3,0
4.95,22740,4.7,0
0,28295,4.6,0
0,8744,4.8,0
3.94,4034,4.4,0
0,8478,4.6,0
11.99,19783,4.7,1
6.99,33208,4.5,0
0,20242,4.7,0
11.99,18591,4.7,1
26.04,763,4.9,0
0,20540,4.6,0
0,7239,4.8,0
10.99,23654,4.8,1
17.62,11588,4.8,1
0,37901,4.6,0
9.14,8170,4.7,1
15.99,49707,4.7,1
0,19120,4.4,0
0,9025,4.8,0
0,16072,4.4,0
0,699,4.6,0
12.68,9784,4.8,1
11.99,10577,4.8,1
0,1046,4.8,0
43.62,13231,4.7,1
0,8266,4.7,0
0,216,4.8,0
0,8764,4.5,0
0,3751,4.7,0
8,10353,4.8,1
15.99,14228,4.6,0
17.66,4995,4.7,0
19.94,7803,4.8,1
11.98,18630,4.8,1
0,20049,4.9,0
0,7770,4.8,0
5.86,4768,4.6,0
0,11372,4.7,0
0,15046,4.6,0
0,4715,4.5,0
0,952,4.7,0
0,2180,4.8,0
0,10978,4.8,0
12.5,6280,4.8,1
9.95,4679,4.4,0
0,6093,4.8,0
5.19,5373,4.8,1
0,2490,4.5,0
3.97,1268,4.8,0
0,2893,4.8,0
0,11807,4.6,0
0,3405,3.9,0
0,3645,4.8,0
0,634,4.6,0
44.99,4799,4.7,0
0,1426,4.3,0
17,6317,4.7,1
12.5,1696,4.7,0
0,1807,4.6,0
0,4250,4.7,0
19.82,6756,4.8,0
0,11342,4.4,0
8.99,4565,4.8,0
12.81,3428,4.3,0
0,18983,4.8,0
0,1800,4.7,0
0,8765,4.8,0
0,9220,4.7,0
0,4388,4.7,0
0,6675,4.8,0
19.95,1082,4.6,0
0,11870,4.3,0
0,5538,4.6,0
0,578,4.4,0
0,600,4.8,0
12.99,4875,4.7,0
17.22,8127,4.7,0
18.09,4062,4.7,0
13.55,4363,4.6,0
0,4289,4.6,0
18.69,3564,4.8,0
0,7599,4.5,0
0,16179,4.6,0
0,3398,4.9,0
0,8431,4.7,0
5.9,7511,4.5,0
0,5861,4.8,0
39.97,8301,4.6,0
0,5985,4.9,0
0,1053,4.4,0
0,8202,4.7,0
0,148,4.5,0
0,31678,4.6,0
47.8,7654,4.7,1
8.49,12083,4.5,0
0,5781,4.4,0
12.48,7015,4.5,0
9.96,13760,4.5,0
9.99,6601,4.7,1
0,497,4.6,0
6.99,7165,4.6,0
0,8290,4.6,0
12.65,54234,4.6,0
0,157,4.7,0
0,4171,4.7,0
0,787,4.8,0
0,88,4.3,0
169.99,2994,4.7,0
0,13862,4.8,0
0,7429,4.6,0
0,2565,4.7,0
0,6030,4,0
0,3123,4.8,0
23.99,2652,4.6,0
0,1741,4.6,0
24.9,3345,4.7,0
21.77,2726,4.5,0
31.79,1757,4.8,0
17.66,3006,4.8,0
15.52,5124,4.4,0
0,5806,4.4,0
0,307,4.8,0
0,1968,4.8,0
0,4398,4.7,0
0,623,4.4,0
0,14482,4.4,0
0,5146,4.8,0
0,664,4.7,0
0,1338,4.8,0
0,106,4.7,0
12.62,12140,4.7,0
8.49,7289,4.6,0
0,4982,4.2,0
0,9006,4.5,0
325.26,21,4.9,0
699.95,207,4.6,0
299.99,1146,4.7,0
8.95,25767,4.6,0
10.49,14266,4.7,1
19.9,124810,4.7,1
31.97,607,4.8,0
0,12944,4.6,0
19.95,5215,4.6,0
19.9,37608,4.6,0
42.32,640,4.6,0
19.98,24748,4.6,0
99.99,1992,4.5,0
154.43,877,4.7,0
199.99,709,4.8,0
0,5539,4.3,0
8.48,3038,4.6,0
0,29700,4.7,0
0,20784,4.7,0
0,9926,4.4,0
0,11330,4.7,0
0,41584,4.8,0
38.34,14444,4.7,1
17.28,11229,4.5,0
99.95,4335,4.8,0
0,4081,4.6,0
39.99,3500,4.8,0
34.9,19937,4.6,0
52.98,39962,4.6,0
199.99,14903,4.8,0
449.99,111,4.5,0
799.95,4,4.7,0
499.99,363,4.6,0
0,7795,4.8,0
0,7605,4.5,0
29.99,8008,4.7,1
44.95,19228,4.7,1
65.23,318,4.6,0
13.44,2634,4.8,0
0,4420,4.8,0
0,7649,4.6,0
11.95,1037,4.7,0
104.49,11450,4.7,0
44.99,12110,4.6,0
8,9151,4.5,0
0,2109,4.7,0
49.9,13111,4.6,0
799.95,10,4.5,0
189.99,594,4.5,0
0,1692,4.7,0
29.99,13348,4.5,0
0,8095,4.6,0
0,5491,4.7,0
0,4234,4.7,0
53.29,29589,4.8,0
0,509,4.8,0
29.99,4876,4.5,0
0,689,4.6,0
99.99,33436,4.5,0
20.99,7056,4.6,0
30.74,2390,4.4,0
0,2017,4.7,0
46.71,17229,4.7,0
19.99,2778,4.1,0
0,6634,4.7,0
0,4913,4.5,0
129.95,4306,4.7,0
0,1159,4.6,0
13.29,4233,4.8,0
0,3044,4.4,0
0,3155,4.7,0
32.99,6680,4.7,0
47.89,5665,4.7,0
0,3223,4.7,0
0,595,4.5,0
53.61,2426,4.6,0
182.43,4945,4.7,0
159.99,23731,4.7,0
0,1542,4.8,0
0,5940,4.7,0
69.84,8449,4.5,0
89.9,5170,4.7,0
0,1847,4.3,0
0,2254,4.7,0
20.72,9470,4.5,0
0,354,4.7,0
14.95,4243,4.6,0
20.37,4447,4.4,0
0,4983,4.6,0
0,457,4.7,0
34.46,1764,4.6,0
24.99,11661,4.6,0
16.97,8764,4.8,1
0,2720,4.6,0
14.75,1257,4.6,0
0,1459,4.8,0
0,2730,4.8,0
0,4067,4.6,0
44.95,2422,4.6,0
0,698,4.8,0
12.9,3801,4.8,0
49.9,6224,4.7,1
19.08,7995,4.5,0
129.99,749,4.5,0
14.51,4020,4.7,0
19.3,5152,4.6,0
169.95,942,4.7,0
22.42,5951,4.6,0
159.99,1071,4.7,0
0,148,4.5,0
0,2623,4.4,0
0,2249,4.7,0
0,430,4.6,0
0,1825,4.5,0
16.97,1825,4.6,0
0,1893,4.7,0
0,835,4.7,0
49.99,2006,4.8,0
19.99,1615,4.7,0
16.95,365,4.7,0
22.49,2373,4.5,0
39.95,719,4.6,0
22.95,2797,4.7,0
193.99,3201,4.4,0
0,2077,4.5,0
9.99,1784,4.7,0
0,342,4.8,0
0,239,4.7,0
30.42,1990,4.5,0
21.09,4712,4.7,0
34.76,1283,4.7,0
0,4417,4.7,0
