price,ratings,reviews,recommend
0,10060,4.6,0
0,36361,4.4,0
89.99,18136,4.8,1
21.99,12928,4.5,0
999,615,4.4,0
0,8898,4.4,0
20.42,35344,4.5,0
99.99,1404,4.4,0
0,5402,4.5,0
0,21104,4.5,0
0,10019,4.4,0
169.99,706,4.4,0
0,3229,4.6,0
0,4931,4.2,0
146.53,1530,4.5,0
0,1396,4.5,0
0,61486,4.6,0
0,24448,4.4,0
0,812,4.4,0
0,12137,4.5,0
0,19132,4.5,0
143.64,7088,4.3,0
39.99,3196,4.7,0
0,3385,4.5,0
18.31,11589,4.3,0
149.99,3502,4.8,0
0,368,4.5,0
0,10112,4.2,0
0,9292,4.3,0
206.58,514,4.3,0
0,3122,4.5,0
79.99,4124,4.3,0
59.99,7159,4.5,0
0,164,4.7,0
19.05,5466,4.1,0
0,4151,4.5,0
0,346,4.7,0
127,4306,4.4,0
12.47,7081,4.2,0
27.15,2238,4.3,0
0,1861,4.6,0
0,10948,4.2,0
39.53,8422,4.3,0
98.49,53,4.7,0
0,517,4.5,0
0,761,4.5,0
210.99,194,4.7,0
0,1906,4.4,0
0,4792,4.5,0
0,3163,4.3,0
54,1296,4.4,0
68,24288,4.5,0
7.99,388,3.8,0
0,44,4.8,0
69.99,1501,4.6,0
68.11,503,4.3,0
0,4425,4.5,0
0,322,4.5,0
0,3344,4.3,0
0,1118,4.3,0
0,121,4.2,0
0,944,4.3,0
0,1164,4.1,0
0,1250,4.3,0
0,18,4.3,0
0,2318,4.4,0
327.99,32,4.7,0
0,638,4.3,0
132.17,65,4.3,0
0,2815,4.2,0
110.99,177,4.2,0
0,2564,4.4,0
89.99,269,4.2,0
0,168,4.2,0
0,2323,4.2,0
26.39,329,4.1,0
0,2246,4.4,0
26,294,4.4,0
599.99,239,4.2,0
0,649,4.2,0
0,57,4.3,0
0,84,4.5,0
22.12,58,4,0
79.99,62,4.3,0
359,511,4.7,0
129.99,47,4.6,0
0,350,3.9,0
0,835,4.4,0
61.37,311,4.6,0
0,415,4.4,0
0,1856,4.1,0
0,1259,4.3,0
279,15,4.5,0
27.99,346,4.2,0
0,344,4.2,0
0,3363,4.1,0
100.02,198,4.6,0
0,90,4.3,0
0,162,4.5,0
0,91,4.2,0
0,1,5,0
0,2409,4.4,0
39.99,124,4.2,0
0,117,4.2,0
25.99,319,4.1,0
0,0,0,0
0,829,4.6,0
0,17531,4.4,0
17.45,1089,4,0
64.59,119,4.4,0
329,16,4.4,0
29.99,842,4.7,0
0,91,4.3,0
0,616,4.4,0
35,218,4.6,0
19.99,0,0,0
16.88,21515,4.7,1
11.17,5080,4.7,1
24.99,6699,4.7,1
24.48,13592,4.6,0
5.99,4686,4.6,0
7.39,2164,4.6,0
23.18,2717,4.6,0
47.95,3288,4.7,0
0,4289,4.6,0
25.61,781,4.6,0
29.34,401,4.4,0
18,63,4.6,0
17.16,4866,4.6,0
13.33,1188,4.7,0
30,714,4.5,0
14.5,1770,4.5,0
22.95,626,4.6,0
20.99,669,4.6,0
46.49,7851,4.3,0
24,1905,4.6,0
9.4,4523,4.6,0
32.89,851,4.7,0
91,44,4.8,0
22.99,586,4.6,0
47.51,441,4.6,0
12.98,0,0,0
29.33,865,4.4,0
18,59,4.5,0
13.62,1003,4.6,0
0,1,5,0
0,510,4.6,0
10.19,254,4.3,0
26,648,4.4,0
20.99,647,4.7,0
17.59,1712,4.6,0
22.95,301,4.5,0
8.99,864,4.5,0
64.95,869,4.6,0
19.54,818,4.4,0
0,0,0,0
22.99,123,4.6,0
20.99,348,4.5,0
46.24,1972,4.3,0
0,24,4.6,0
29.99,882,4.5,0
469.99,6,4.3,0
0,540,4.5,0
0,932,4.6,0
0,236,4.5,0
14,235,4.4,0
21.99,999,4.6,0
26.8,212,4.4,0
17.99,302,4.4,0
29.95,53,4.5,0
7.98,529,3.8,0
45,1416,4.6,0
16.01,84,4.7,0
16.5,263,4.7,0
19.49,310,4.5,0
26.99,25,4.7,0
770.29,1,5,0
20.99,51,4.3,0
44.95,347,4.5,0
37.99,348,4.6,0
27.5,92,4.3,0
93.49,277,4.6,0
12.99,0,0,0
20.99,96,4,0
52.52,35,4,0
0,10,4.1,0
20.99,262,4.6,0
0,197,4.5,0
18.85,387,4.6,0
28.99,142,4.5,0
29.99,1474,4.6,0
45.95,187,4.2,0
48,178,4.5,0
36.7,36,4.5,0
0,49,4.9,0
0,20,3.9,0
0,296,4.6,0
33.55,81,4.5,0
19.95,92,4.6,0
13.55,39,4.6,0
28.9,322,4.7,0
35,237,4.2,0
24.68,37,4.6,0
22.95,393,4.5,0
0,98,4.7,0
9.99,154,4.5,0
36,399,4.4,0
209.99,57,4.6,0
0,53,4.8,0
34.99,130,4.5,0
24.5,223,4.4,0
39.99,47,4.7,0
0,24,4.6,0
25,120,4.6,0
27.49,29,4.7,0
0,11,4.7,0
46.02,204,4.5,0
36.84,191,4.3,0
104.99,36,4.5,0
49.08,25,4.1,0
35.9,75,4.1,0
33.7,134,4.6,0
1,1,5,0
12.99,57,4.5,0
0,11,3.5,0
26.5,35,4.8,0
14.63,103,4.7,0
20.99,9,4.6,0
72.86,40,4.5,0
56.99,279,4.6,0
0,38,4.9,0
21,8,3.8,0
33.99,105,4.6,0
22,252,4.4,0
36,397,4.6,0
0,8,4.7,0
